name;genres;popularity;followers
ANAVITÓRIA;folk brasileiro, musica tocantinense, nova mpb, pop lgbtq+ brasileira, pop nacional;72;6.877.081
Diego & Arnaldo;agronejo, sertanejo, sertanejo pop, sertanejo universitario;64;1.462.326
Heitor e Murilo;;61;15.651
Clayton & Romário;agronejo, arrocha, sertanejo, sertanejo pop, sertanejo universitario;73;432.800
Daniel Santos;;6;142
Yasmin Santos;sertanejo, sertanejo pop, sertanejo universitario;65;2.970.396
Breno Ferreira;;38;1.456
Sorriso Maroto;pagode, pagode novo, sertanejo universitario;78;3.231.657
Tim Maia;brazilian boogie, brazilian soul, mpb;68;2.022.199
Miley Cyrus;pop;84;25.133.098
Coldplay;permanent wave, pop;91;55.001.969
Fiduma & Jeca;agronejo, sertanejo pop, sertanejo universitario;66;496.998
Luan Santana;arrocha, sertanejo, sertanejo universitario;80;8.305.155
Gyylo;;47;22.128
Diego & Victor Hugo;arrocha, sertanejo, sertanejo pop, sertanejo universitario;74;3.121.300
Maiara & Maraisa;sertanejo, sertanejo pop, sertanejo universitario;80;13.983.908
Stryv;;75;12.913
Rosa Linn;alt z;68;412.306
Lady Gaga;art pop, dance pop, pop;92;33.064.658
Kaique e Felipe;sertanejo pop;68;27.326
The Weeknd;canadian contemporary r&b, canadian pop, pop;96;95.356.565
Gusttavo Lima;agronejo, arrocha, sertanejo, sertanejo universitario;82;21.977.848
Jorge & Mateus;agronejo, arrocha, sertanejo, sertanejo universitario;83;20.860.143
Keinemusik;melodic house;78;357.387
Harry Styles;pop;85;33.178.290
Elis Justi;;26;731
Dilsinho;pagode, pagode novo, sertanejo, sertanejo universitario;75;4.252.471
Malachiii;;75;9.343
Sabrina Carpenter;pop;94;15.607.290
João Neto & Frederico;agronejo, sertanejo, sertanejo pop, sertanejo universitario;63;3.587.806
Shaboozey;modern country pop, pop rap;80;826.918
Tiê;folk brasileiro, mpb, nova mpb;56;718.085
Hozier;irish singer-songwriter, modern rock, pop, pov: indie;86;8.106.145
Selena Gomez;pop, post-teen pop;83;51.284.055
Tyla;;78;2.173.440
Ferrugem;funk carioca, pagode, pagode novo, sertanejo universitario;78;5.591.128
Zé Neto & Cristiano;agronejo, arrocha, sertanejo, sertanejo universitario;79;20.620.393
Luan Pereira;agronejo, sertanejo universitario;79;2.682.899
Marília Tavares;;61;189.042
Mari Fernandez;agronejo, arrocha, arrochadeira, forro;74;3.421.888
Grelo;;72;498.853
Thullio Milionário;forro, vaqueiro;57;173.212
Gustavo Mioto;arrocha, sertanejo, sertanejo universitario;76;6.292.482
Billy SP;pagode novo;59;12.674
Grupo Menos É Mais;pagode, pagode novo;80;4.055.615
Mumuzinho;funk carioca, pagode, pagode novo;68;2.385.492
Drops INA;adoracao;62;144.812
Rema;afrobeats, nigerian pop;78;5.844.786
Bruno Mars;dance pop, pop;96;63.092.779
Orso;;75;1.336
Guilherme & Benuto;agronejo, arrocha, sertanejo, sertanejo pop, sertanejo universitario;75;1.359.260
AgroPlay;agronejo;70;824.907
Manu;arrocha, brega paraense;70;870.438
Nadson O Ferinha;arrocha, forro;68;1.783.831
Thiago e Samuel;;51;38.864
Fernando & Sorocaba;agronejo, arrocha, sertanejo, sertanejo pop, sertanejo universitario;68;4.663.058
czinne7;;0;0
Edson & Hudson;sertanejo, sertanejo pop, sertanejo tradicional, sertanejo universitario;61;1.766.259
Olivia Rodrigo;pop;89;41.694.402
Enzo Rabelo;batidao romantico, sertanejo pop, sertanejo universitario;53;727.881
Os Parazim;;37;9.380
Bruno;;46;5.826
Rionegro & Solimões;sertanejo, sertanejo tradicional, sertanejo universitario;69;1.655.242
Adam Port;melodic house;77;224.375
Dua Lipa;dance pop, pop, uk pop;88;45.095.372
Matheus & Kauan;agronejo, arrocha, pop nacional, sertanejo, sertanejo universitario;80;11.521.500
Matheus Fernandes;arrocha, forro;71;880.043
NATTAN;forro;78;3.146.801
Marcos & Belutti;sertanejo, sertanejo pop, sertanejo universitario;69;5.388.639
Israel & Rodolffo;agronejo, arrocha, sertanejo, sertanejo pop, sertanejo universitario;73;2.783.577
Alfa;pop virale italiano;68;815.569
Tierry;arrocha, sertanejo universitario;60;1.457.203
Felipe e Rodrigo;sertanejo, sertanejo pop;72;235.764
Simone Mendes;sertanejo, sertanejo universitario;77;2.417.863
Marília Mendonça;arrocha, sertanejo, sertanejo universitario;81;35.261.737
ROSÉ;k-pop;86;8.309.418
Traia Véia;sertanejo pop;71;203.435
Natanzinho Lima;;78;285.240
Gloria Groove;funk carioca, pop lgbtq+ brasileira;73;3.487.606
Turma do Pagode;pagode, pagode novo, sertanejo universitario;73;3.384.689
Billie Eilish;art pop, pop;96;103.036.143
Thiaguinho;pagode, pagode novo, sertanejo universitario;75;3.807.389
Bruno & Marrone;sertanejo, sertanejo pop, sertanejo universitario;75;6.020.195
Henrique & Juliano;agronejo, arrocha, musica tocantinense, sertanejo, sertanejo universitario;87;24.367.724
Hugo & Guilherme;agronejo, arrocha, sertanejo, sertanejo pop, sertanejo universitario;80;2.345.609
Ana Castela;agronejo, sertanejo, sertanejo pop, sertanejo universitario;81;7.750.859
Murilo Huff;arrocha, sertanejo, sertanejo universitario;80;1.769.715
Adryana E A Rapaziada;axe, pagode;43;106.563
Lauana Prado;sertanejo, sertanejo pop, sertanejo universitario;78;4.874.800
Danilo e Davi;agronejo, sertanejo pop;60;56.999
Benson Boone;singer-songwriter pop;86;4.005.699
Thiago Carvalho;sertanejo pop;39;8.806
