trackId;name;album;artists;release_date
06XSmh92M0FIYNGC4Ss0CX;A noite;Esmeraldas (Álbum Comentado);['Tiê'];2014-09-23
3EJfFRgtbIYzBQdlc6PO9V;Vai Lá - Ao Vivo em Goiânia;iMEMsidão EP 01 (Ao Vivo em Goiânia);['Maiara & Maraisa'];2024-09-26
5sKGmZDmkGwFed5dPpZpZL;Xonei;Xonei;['Jorge & Mateus', 'Henrique & Juliano'];2024-08-15
7pkpWcko6KEZANj0xKsCsu;Cronômetro - Ao Vivo;Praiou (Ao Vivo / Vol.3);['Matheus & Kauan'];2024-07-05
1CpneInvFvGYcDVU4CCDgI;Minha Herança - Ao Vivo;Minha Herança (Ao Vivo);['Ana Castela'];2024-05-30
4kQbzdZLAeqlrw3y7o4k3i;Dois Tristes - Ao Vivo;Cantando Sua História (Ao Vivo / Vol.1);['Simone Mendes'];2024-03-01
1YlfGwNizEKy299l1PVggn;Coração Partido (Corazón Partío) - Ao Vivo;Coração Partido (Corazón Partío) [Ao Vivo];['Grupo Menos É Mais'];2024-08-29
4dvHZesL5UKzfJnFH5bm3g;CLONE - Ao Vivo;CLONE (Ao Vivo);['Luan Santana'];2024-08-22
6X6jKoyw1OjogRghMEQAZV;Haverá Sinais - Ao Vivo;Haverá Sinais (Ao Vivo);['Jorge & Mateus', 'Lauana Prado'];2024-02-14
4bCihe7lYpnerhvpYhTrpx;Me Caiu Tão Bem - Ao Vivo;Me Caiu Tão Bem (Ao Vivo);['Murilo Huff', 'Gustavo Mioto'];2024-06-06
2plbrEY59IikOBgBGLjaoe;Die With A Smile;Die With A Smile;['Lady Gaga', 'Bruno Mars'];2024-08-16
368hYqtNCKCAeUduMoSHhh;Aproveita - Ao Vivo;Ao Vivo Em Brasília (Ao Vivo / Vol.1);['Clayton & Romário'];2024-05-31
60wgnlVBEsyswrTB6pYiTi;Como Um Beijo;Como Um Beijo;['Marcos & Belutti', 'Nadson O Ferinha'];2024-05-24
3ygYEombwFNd7SAMJidD3O;Mentira Estampada na Cara;De Bar em Bar 5.0;['Natanzinho Lima'];2024-06-14
1cIS13bqNfZcTs8LSK8r0a;Gosta De Rua - Ao Vivo;Questão de Tempo (Ao Vivo / Vol.2);['Felipe e Rodrigo'];2024-03-29
2cGRf9skACWnKRK1eLYBJn;Sujeito Homem - Ao Vivo;Sujeito Homem (Ao Vivo);['Guilherme & Benuto'];2024-10-17
5hlojehQcbgcCSbllhwdHC;O Lugar Mais Triste do Mundo;O Lugar Mais Triste do Mundo;['Traia Véia'];2024-09-06
