Música;Artista;Gravadora
Xonei;Jorge e Mateus, Henrique e Juliano;Som Livre
Cronômetro;Matheus e Kauan;Universal
Aproveita;Clayton e Romário;Virgin
Dois tristes;Simone Mendes;Universal
Haverá sinais ;Jorge e Mateus, Lauana Prado;Som Livre
A noite;Gusttavo Lima;Sony
Minha herança;Ana Castela;Agroplay
Como um beijo;Marcos e Belutti, Nadson O Ferinha;Sony
Palavras de perdão;Marília Tavares;Duetos music
Morena de Goiania;Hugo e Guilherme, Maiara e Maraísa;Som Livre
Gosta de rua;Felipe e Rodrigo;Virgin
Chave;Thiago e Samuel, Gustavo Mioto, Os Parazim;Universal
Me caiu tão bem;Murilo Huff, Gustavo Mioto;Independente
Deu moral;Zé Neto e Cristiano;Som Livre
Vai lá;Maiara e Maraísa;Som Livre
Eu sou sentimento;Luan Pereira, Luan Santana;Sony
Chorosa;Guilherme e Benuto;Sony
Die with smile;Lady Gaga, Bruno Mars;Interscope
Nem a pau;Yasmin Santos, Simone Mendes;Sony
Pai, por que?; Enzo Rabelo, Bruno;Believe
Fivela com fivela;Rionegro e Solimões;Independente
Daqui pra frente;Manu Bahtidão, Simone Mendes;Independente
O lugar mais triste do mundo;Traia Veia;Independente
Relação errada;Gusttavo Lima, Bruno e Marrone;Sony
Canudinho;Gusttavo Lima, Ana Castela; Sony
Erro gostoso;Simone Mendes;Universal
Barulho do foguete;Zé Neto e Cristiano;Som Livre
Eu fujo;Gusttavo Mioto;Som Livre
Vazou na braquiara;Hugo e Guilherme;Som Livre
Em busca da minha sorte;Thiaguinho, Billy SP;Virgin
Mentira estampada;Wesley Safadão, Natanzinho Lima;Som Livre
Torre Eiffel;Manu Bhatidão, Guilherme e Benuto;Independente
Coração partido;Menos é Mais;Som Livre
Me leva pra casa/ Escrito nas estrelas / Saudade;Lauana Prado;Universal
Nosso primeiro beijo;Gloria Groove;SB Music
Leão;Marilia Mendonça;Som Livre
Equivocada;Traia Véia;Independente
Apaga apaga apaga;Danilo e Davi;Som Livre
Dois fugitivos;Simone Mendes;Universal
Flowers;Miley Cyrus;Sony
Saudade sem educação;João Neto e Frederico, Hugo e Guilherme;Som Livre
Sou pagodeiro;Dilsinho;Sony
Greve de beijo;Israel e Rodolffo;Som Livre
Cortando as BR;Fiduma e Jeca, Fernando e Sorocaba;Independente
Trauma;Ícaro e Gilmar;MJ Music
Feelslikeimfallinginlove; Coldplay;Warner
Calm down;Selena Gomez, Rema;Virgin Music
Triplex;Matheus Fernandes, Matheus e Kauan;Som Livre
Rancorosa;Henrique e Juliano;Virgin
Narcisista;Maiara e Maraísa;Som Livre
Espresso;Sabrina Carpenter;island records
Clone;Luan Santana;Sony
Beautiful Things;Benson Boone;Night Street
Desejo imortal;Gusttavo Lima;Sony
Deja vu;Luan Santana, Ana Castela;Sony
Nosso quadro;Agroplay, Ana Castela;Independente
Só fé;Grelo;Independente
As it was;Harry Styles;Universal
Morena;Clayton e Romário;Independente
Morar nesse motel; Gustavo Lima;Sony
Apaguei pra todos;Ferrugem, Sorriso Maroto;Warner
Solteiro forçado;Ana Castela;Independente
Página de ex;Mari Fernandez;Som Livre
Casca de bala;Thullio Milionário;Independente
A bar song;Shaboozey;Universal
Fronteira;Ana Catela, Gustavo Mioto;Agroplay
Water ;Tyla;Sony
Wi-fi;Traia véia, Luan Pereira;Independente
O que é que sou pra você;Thiago Carvalho;Som Livre
Anestesiado;Murilo Huff;Independente
Geedy;Tate McRae;Sony
Maravilhosa;Zé Vaqueiro;Sony
Too sweet;Hozier;Rubyworks
Snap (italian);Rosa Linn, Alfa; Sony
Pátio do posto;Zé Neto e Cristiano;Som Livre
Desconhecido;Diego e Arnaldo, Lauana Prado;Som Livre
Birds of a feather;Billie Eilish;Interscope
Amor na praia;Nattan;Independente
Voltando pra mim;Gustavo Mioto;Universal
Por te amar assim;Edson e Hudson;Independente
Mulher segura;Luan Santana;Sony
Dói; Jorge e Mateus;Som Livre
Amor diferente;Thiago e Samuel, Simone Mendes;Temple Records
Fim da noite;João Bosco e Vinicius, Maiara e Maraisa;Independente
Traumatizei;Henrique e Juliano;Virgin
Blinding lights;The Weeknd;Republic Records
Eu amo você;Léo Magalhães;Independente
Manda um oi;Guilherme e Benuto, Simone Mendes;Sony
Sujeito homem;Guilherme e Benuto;Sony
Illusion;Dua Lipa;Warner
Move;Adam Port, Stryv, Malachiii, Orso;Interscope
Olho encharcado;Heitor e Murilo, Diego e Victor Hugo;Independente
Nega véia;João Neto e Frederico;Som Livre
Devia ser proibido;Henrique e Juliano;Virgin
Bem mais que eu;Diego e Victor Hugo;Sony
Mulher foda;Simone Mendes;Universal
Saudade matada;Vini Drumond;Independente
Daquele jeitão;Péricles;Independente
Foi intenso;Zé Neto e Cristiano, Ana Castela;Som Livre
A culpa é nossa;Maiara e Maraísa;Som Livre
