trackId;artist
06XSmh92M0FIYNGC4Ss0CX;Tiê
3EJfFRgtbIYzBQdlc6PO9V;Maiara & Maraisa
5sKGmZDmkGwFed5dPpZpZL;Jorge & Mateus
5sKGmZDmkGwFed5dPpZpZL;Henrique & Juliano
7pkpWcko6KEZANj0xKsCsu;Matheus & Kauan
1CpneInvFvGYcDVU4CCDgI;Ana Castela
4kQbzdZLAeqlrw3y7o4k3i;Simone Mendes
1YlfGwNizEKy299l1PVggn;Grupo Menos É Mais
4dvHZesL5UKzfJnFH5bm3g;Luan Santana
6X6jKoyw1OjogRghMEQAZV;Jorge & Mateus
6X6jKoyw1OjogRghMEQAZV;Lauana Prado
4bCihe7lYpnerhvpYhTrpx;Murilo Huff
4bCihe7lYpnerhvpYhTrpx;Gustavo Mioto
2plbrEY59IikOBgBGLjaoe;Lady Gaga
2plbrEY59IikOBgBGLjaoe;Bruno Mars
368hYqtNCKCAeUduMoSHhh;Clayton & Romário
60wgnlVBEsyswrTB6pYiTi;Marcos & Belutti
60wgnlVBEsyswrTB6pYiTi;Nadson O Ferinha
3ygYEombwFNd7SAMJidD3O;Natanzinho Lima
1cIS13bqNfZcTs8LSK8r0a;Felipe e Rodrigo
2cGRf9skACWnKRK1eLYBJn;Guilherme & Benuto
5hlojehQcbgcCSbllhwdHC;Traia Véia
1EvsF0I9ndtngvsQK9Qrim;Edson & Hudson
1b4OldCIxTO7DcqYdvdlOM;Marília Tavares
0WiJIa3V9GdcJfcy1FhLjp;Zé Neto & Cristiano
1WHDOr19zyyqu6XXIvdgfX;Hugo & Guilherme
1WHDOr19zyyqu6XXIvdgfX;Maiara & Maraisa
7nUXFlRxC3uQqPE5Vkt2Wk;Thiago e Samuel
7nUXFlRxC3uQqPE5Vkt2Wk;Gustavo Mioto
7nUXFlRxC3uQqPE5Vkt2Wk;Os Parazim
17tg01y3RhlfRKMnd333yL;Danilo e Davi
3k3wJVYBp7PnHBubpgQx9Q;Daniel Santos
42JNab8NPeCADJ9D3Cl5wS;Zé Neto & Cristiano
4oev7XjyhZb9CaY4H3kz2T;Thiaguinho
4oev7XjyhZb9CaY4H3kz2T;Billy SP
6AENBD8I0mDGglFqrRZGu7;Gusttavo Lima
6AENBD8I0mDGglFqrRZGu7;Ana Castela
51pxwIxDVCbFHW8oyJFQXD;Simone Mendes
35bRI02RgFwEwpOjRZIHjj;Gusttavo Lima
35bRI02RgFwEwpOjRZIHjj;Bruno & Marrone
07ceTL2BIlnI5jWxceZz9d;Gustavo Mioto
6u9tu5yRDTHpWlY86J1GDa;Yasmin Santos
6u9tu5yRDTHpWlY86J1GDa;Simone Mendes
1ZtgnRr4uKMOoCzP4vnQDl;Hugo & Guilherme
73SIgqXr3oRzzWbX1muX3I;Rionegro & Solimões
6b0vkAnCfg31Bgaw9jHUgJ;Enzo Rabelo
6b0vkAnCfg31Bgaw9jHUgJ;Bruno
2K9kZpwD2CzTa6iiSYYOoO;Marília Mendonça
0HDMisLsuGNml98Xq7atpm;Luan Santana
0HDMisLsuGNml98Xq7atpm;Luan Pereira
6MCaEL0pQo1Jg1vlKpMWop;Simone Mendes
2sYFUcurlISdHlAsnYCEgD;Lauana Prado
0WtM2NBVQNNJLh6scP13H8;Rema
0WtM2NBVQNNJLh6scP13H8;Selena Gomez
6sWrtSw5H8crwA6fR4dyFb;Dilsinho
6ukVCqH77f6cwRHyJBhGgy;Israel & Rodolffo
7DSAEUvxU8FajXtRloy8M0;Miley Cyrus
49S3znqBAQyPyMpEuKeyJ6;Coldplay
