artistName;genre
Ferrugem;funk carioca
Ferrugem;pagode
Ferrugem;pagode novo
Ferrugem;sertanejo universitario
Alfa;pop virale italiano
Keinemusik;melodic house
The Weeknd;canadian contemporary r&b
The Weeknd;canadian pop
The Weeknd;pop
Lady Gaga;art pop
Lady Gaga;dance pop
Lady Gaga;pop
Turma do Pagode;pagode
Turma do Pagode;pagode novo
Turma do Pagode;sertanejo universitario
Matheus & Kauan;agronejo
Matheus & Kauan;arrocha
Matheus & Kauan;pop nacional
Matheus & Kauan;sertanejo
Matheus & Kauan;sertanejo universitario
Harry Styles;pop
Luan Santana;arrocha
Luan Santana;sertanejo
Luan Santana;sertanejo universitario
Benson Boone;singer-songwriter pop
Adryana E A Rapaziada;axe
Adryana E A Rapaziada;pagode
Tiê;folk brasileiro
Tiê;mpb
Tiê;nova mpb
Hozier;irish singer-songwriter
Hozier;modern rock
Hozier;pop
Hozier;pov: indie
Thiago Carvalho;sertanejo pop
Manu;arrocha
Manu;brega paraense
Guilherme & Benuto;agronejo
Guilherme & Benuto;arrocha
Guilherme & Benuto;sertanejo
Guilherme & Benuto;sertanejo pop
Guilherme & Benuto;sertanejo universitario
Billy SP;pagode novo
Luan Pereira;agronejo
Luan Pereira;sertanejo universitario
Rema;afrobeats
Rema;nigerian pop
Enzo Rabelo;batidao romantico
Enzo Rabelo;sertanejo pop
Enzo Rabelo;sertanejo universitario
Marlon & Maicon;sertanejo
Marlon & Maicon;sertanejo universitario
Mumuzinho;funk carioca
Mumuzinho;pagode
Mumuzinho;pagode novo
Mari Fernandez;agronejo
Mari Fernandez;arrocha
Mari Fernandez;arrochadeira
Mari Fernandez;forro
Tierry;arrocha
Tierry;sertanejo universitario
Maiara & Maraisa;sertanejo
Maiara & Maraisa;sertanejo pop
Maiara & Maraisa;sertanejo universitario
Olivia Rodrigo;pop
ROSÉ;k-pop
Drops INA;adoracao
Traia Véia;sertanejo pop
Billie Eilish;art pop
Billie Eilish;pop
Gustavo Mioto;arrocha
Gustavo Mioto;sertanejo
Gustavo Mioto;sertanejo universitario
Dilsinho;pagode
Dilsinho;pagode novo
Dilsinho;sertanejo
Dilsinho;sertanejo universitario
Grupo Menos É Mais;pagode
Grupo Menos É Mais;pagode novo
Ana Castela;agronejo
Ana Castela;sertanejo
Ana Castela;sertanejo pop
Ana Castela;sertanejo universitario
Selena Gomez;pop
Selena Gomez;post-teen pop
Sorriso Maroto;pagode
Sorriso Maroto;pagode novo
Sorriso Maroto;sertanejo universitario
AgroPlay;agronejo
Nadson O Ferinha;arrocha
Nadson O Ferinha;forro
Israel & Rodolffo;agronejo
Israel & Rodolffo;arrocha
Israel & Rodolffo;sertanejo
Israel & Rodolffo;sertanejo pop
Israel & Rodolffo;sertanejo universitario
Rionegro & Solimões;sertanejo
Rionegro & Solimões;sertanejo tradicional
Rionegro & Solimões;sertanejo universitario
Marcos & Belutti;sertanejo
Marcos & Belutti;sertanejo pop
Marcos & Belutti;sertanejo universitario
Henrique & Juliano;agronejo
Henrique & Juliano;arrocha
Henrique & Juliano;musica tocantinense
Henrique & Juliano;sertanejo
Henrique & Juliano;sertanejo universitario
Matheus Fernandes;arrocha
Matheus Fernandes;forro
Hugo & Guilherme;agronejo
Hugo & Guilherme;arrocha
Hugo & Guilherme;sertanejo
Hugo & Guilherme;sertanejo pop
Hugo & Guilherme;sertanejo universitario
Jorge & Mateus;agronejo
Jorge & Mateus;arrocha
Jorge & Mateus;sertanejo
Jorge & Mateus;sertanejo universitario
Tim Maia;brazilian boogie
Tim Maia;brazilian soul
Tim Maia;mpb
Thullio Milionário;forro
Thullio Milionário;vaqueiro
Diego & Arnaldo;agronejo
Diego & Arnaldo;sertanejo
Diego & Arnaldo;sertanejo pop
Diego & Arnaldo;sertanejo universitario
NATTAN;forro
Sabrina Carpenter;pop
Fiduma & Jeca;agronejo
Fiduma & Jeca;sertanejo pop
Fiduma & Jeca;sertanejo universitario
ANAVITÓRIA;folk brasileiro
ANAVITÓRIA;musica tocantinense
ANAVITÓRIA;nova mpb
ANAVITÓRIA;pop lgbtq+ brasileira
ANAVITÓRIA;pop nacional
Felipe e Rodrigo;sertanejo
Felipe e Rodrigo;sertanejo pop
Adam Port;melodic house
Zé Neto & Cristiano;agronejo
Zé Neto & Cristiano;arrocha
Zé Neto & Cristiano;sertanejo
Zé Neto & Cristiano;sertanejo universitario
Gloria Groove;funk carioca
Gloria Groove;pop lgbtq+ brasileira
Bruno & Marrone;sertanejo
Bruno & Marrone;sertanejo pop
Bruno & Marrone;sertanejo universitario
Rosa Linn;alt z
Simone Mendes;sertanejo
Simone Mendes;sertanejo universitario
Shaboozey;modern country pop
Shaboozey;pop rap
Kaique e Felipe;sertanejo pop
Gusttavo Lima;agronejo
Gusttavo Lima;arrocha
Gusttavo Lima;sertanejo
Gusttavo Lima;sertanejo universitario
Lauana Prado;sertanejo
Lauana Prado;sertanejo pop
Lauana Prado;sertanejo universitario
Dua Lipa;dance pop
Dua Lipa;pop
Dua Lipa;uk pop
Miley Cyrus;pop
Marília Mendonça;arrocha
Marília Mendonça;sertanejo
Marília Mendonça;sertanejo universitario
Coldplay;permanent wave
Coldplay;pop
Fernando & Sorocaba;agronejo
Fernando & Sorocaba;arrocha
Fernando & Sorocaba;sertanejo
Fernando & Sorocaba;sertanejo pop
Fernando & Sorocaba;sertanejo universitario
Bruno Mars;dance pop
Bruno Mars;pop
João Neto & Frederico;agronejo
João Neto & Frederico;sertanejo
João Neto & Frederico;sertanejo pop
João Neto & Frederico;sertanejo universitario
Clayton & Romário;agronejo
Clayton & Romário;arrocha
Clayton & Romário;sertanejo
Clayton & Romário;sertanejo pop
Clayton & Romário;sertanejo universitario
Thiaguinho;pagode
Thiaguinho;pagode novo
Thiaguinho;sertanejo universitario
Diego & Victor Hugo;arrocha
Diego & Victor Hugo;sertanejo
Diego & Victor Hugo;sertanejo pop
Diego & Victor Hugo;sertanejo universitario
Murilo Huff;arrocha
Murilo Huff;sertanejo
Murilo Huff;sertanejo universitario
Yasmin Santos;sertanejo
Yasmin Santos;sertanejo pop
Yasmin Santos;sertanejo universitario
Danilo e Davi;agronejo
Danilo e Davi;sertanejo pop
