trackId;musica;artista;gravadora
06XSmh92M0FIYNGC4Ss0CX;A noite;Gusttavo Lima;Sony
3EJfFRgtbIYzBQdlc6PO9V;Vai lá;Maiara e Maraísa;Som Livre
5sKGmZDmkGwFed5dPpZpZL;Xonei;Jorge e Mateus, Henrique e Juliano;Som Livre
7pkpWcko6KEZANj0xKsCsu;Cronômetro;Matheus e Kauan;Universal
1CpneInvFvGYcDVU4CCDgI;Minha herança;Ana Castela;Agroplay
4kQbzdZLAeqlrw3y7o4k3i;Dois tristes;Simone Mendes;Universal
1YlfGwNizEKy299l1PVggn;Coração partido;Menos é Mais;Som Livre
4dvHZesL5UKzfJnFH5bm3g;Clone;Luan Santana;Sony
6X6jKoyw1OjogRghMEQAZV;Haverá sinais ;Jorge e Mateus, Lauana Prado;Som Livre
4bCihe7lYpnerhvpYhTrpx;Me caiu tão bem;Murilo Huff, Gustavo Mioto;Independente
2plbrEY59IikOBgBGLjaoe;Die with smile;Lady Gaga, Bruno Mars;Interscope
368hYqtNCKCAeUduMoSHhh;Aproveita;Clayton e Romário;Virgin
60wgnlVBEsyswrTB6pYiTi;Como um beijo;Marcos e Belutti, Nadson O Ferinha;Sony
3ygYEombwFNd7SAMJidD3O;Mentira estampada;Wesley Safadão, Natanzinho Lima;Som Livre
1cIS13bqNfZcTs8LSK8r0a;Gosta de rua;Felipe e Rodrigo;Virgin
2cGRf9skACWnKRK1eLYBJn;Sujeito homem;Guilherme e Benuto;Sony
5hlojehQcbgcCSbllhwdHC;O lugar mais triste do mundo;Traia Veia;Independente
3KpQcbkQnGOf9MopIoShzl;Por te amar assim;Edson e Hudson;Independente
1b4OldCIxTO7DcqYdvdlOM;Palavras de perdão;Marília Tavares;Duetos music
0WiJIa3V9GdcJfcy1FhLjp;Deu moral;Zé Neto e Cristiano;Som Livre
1WHDOr19zyyqu6XXIvdgfX;Morena de Goiania;Hugo e Guilherme, Maiara e Maraísa;Som Livre
7nUXFlRxC3uQqPE5Vkt2Wk;Chave;Thiago e Samuel, Gustavo Mioto, Os Parazim;Universal
17tg01y3RhlfRKMnd333yL;Apaga apaga apaga;Danilo e Davi;Som Livre
3k3wJVYBp7PnHBubpgQx9Q;Daqui pra frente;Manu Bahtidão, Simone Mendes;Independente
42JNab8NPeCADJ9D3Cl5wS;Barulho do foguete;Zé Neto e Cristiano;Som Livre
4oev7XjyhZb9CaY4H3kz2T;Em busca da minha sorte;Thiaguinho, Billy SP;Virgin
6AENBD8I0mDGglFqrRZGu7;Canudinho;Gusttavo Lima, Ana Castela; Sony
51pxwIxDVCbFHW8oyJFQXD;Erro gostoso;Simone Mendes;Universal
35bRI02RgFwEwpOjRZIHjj;Relação errada;Gusttavo Lima, Bruno e Marrone;Sony
07ceTL2BIlnI5jWxceZz9d;Eu fujo;Gusttavo Mioto;Som Livre
6u9tu5yRDTHpWlY86J1GDa;Nem a pau;Yasmin Santos, Simone Mendes;Sony
2RX89Di479sc53wkaNgt9E;Vazou na braquiara;Hugo e Guilherme;Som Livre
73SIgqXr3oRzzWbX1muX3I;Fivela com fivela;Rionegro e Solimões;Independente
6b0vkAnCfg31Bgaw9jHUgJ;Pai, por que?; Enzo Rabelo, Bruno;Believe
2K9kZpwD2CzTa6iiSYYOoO;Leão;Marilia Mendonça;Som Livre
0HDMisLsuGNml98Xq7atpm;Eu sou sentimento;Luan Pereira, Luan Santana;Sony
6MCaEL0pQo1Jg1vlKpMWop;Dois fugitivos;Simone Mendes;Universal
2sYFUcurlISdHlAsnYCEgD;Me leva pra casa/ Escrito nas estrelas / Saudade;Lauana Prado;Universal
0WtM2NBVQNNJLh6scP13H8;Calm down;Selena Gomez, Rema;Virgin Music
6sWrtSw5H8crwA6fR4dyFb;Sou pagodeiro;Dilsinho;Sony
6ukVCqH77f6cwRHyJBhGgy;Arruma um bão;Israel e Rodolffo;Som Livre
7DSAEUvxU8FajXtRloy8M0;Flowers;Miley Cyrus;Sony
49S3znqBAQyPyMpEuKeyJ6;Feelslikeimfallinginlove; Coldplay;Warner
6nHOS9bPDkMzzjxWS6PBtt;Chorosa;Guilherme e Benuto;Sony
61W9rzBCTv8RZmYxYTtN5v;Torre Eiffel;Manu Bhatidão, Guilherme e Benuto;Independente
2qSkIjg1o9h3YT9RAgYN75;Espresso;Sabrina Carpenter;island records
7Elw15XWLpOi4qzHyAwa9e;Nosso primeiro beijo;Gloria Groove;SB Music
1kmC1D65StdXts9xb7c7M2;Trauma;Ícaro e Gilmar;MJ Music
0bor3AJ8QV6RRbyV64ZsOO;Cortando as BR;Fiduma e Jeca, Fernando e Sorocaba;Independente
1Jhkk1FIV7tMH9CZATjxrf;Equivocada;Traia Véia;Independente
7CUQQLRMIeSfa4m2uQcRHp;Rancorosa;Henrique e Juliano;Virgin
6tNQ70jh4OwmPGpYy6R2o9;Beautiful Things;Benson Boone;Night Street
3whfTX0NBHhjynUlARMf7q;Desconhecido;Diego e Arnaldo, Lauana Prado;Som Livre
4Dvkj6JhhA12EX05fT7y2e;As it was;Harry Styles;Universal
1L7hWEc3tVjvmbw48ShktM;Desejo imortal;Gusttavo Lima;Sony
6dOtVTDdiauQNBQEDOtlAB;Birds of a feather;Billie Eilish;Interscope
1bzRhnrWU1l1u4Bby9ZbfQ;Nosso quadro;Agroplay, Ana Castela;Independente
5lCErzo5pzcERgOL5hScRG;Apaguei pra todos;Ferrugem, Sorriso Maroto;Warner
4Z2i41GDQyu3KRpBavEnyR;Solteiro forçado;Ana Castela;Independente
0WrM1ON5poAsmKw3x5uPhD;Narcisista;Maiara e Maraísa;Som Livre
4PQdrXMDHDPl1RczrrlADd;Morena;Clayton e Romário;Independente
1NcqLEg2r2LXqMVbam2BJD;Triplex;Matheus Fernandes, Matheus e Kauan;Som Livre
2LQ67PtoEgJSaRSqoh4k2E;Greve de beijo;Israel e Rodolffo;Som Livre
6HU7h9RYOaPRFeh0R3UeAr;Deja vu;Luan Santana, Ana Castela;Sony
4tXVLiZWjPo5rFx1DjBZjl;Duvido;Turma do Pagode, Ferrugem, Mumuzinho;Sony
19SPlSeayCtqMJ9vDbJhqO;Snap (italian);Rosa Linn, Alfa; Sony
1wubETHu3SeJHfbz9itEH0;Última saudade;Henrique e Juliano;Virgin
0FMsqCI7ebewLFBfNysgkK;O que é que sou pra você;Thiago Carvalho;Som Livre
4t6eam3rC9JoNFVkfOHK4s;Pátio do posto;Zé Neto e Cristiano;Som Livre
66M2D3OYOa40WOCRIpnF9C;Cowboy de rodeio;Elis Justi;Independente
12G0KiYRpmpDOrube9GCa5;Fronteira;Ana Catela, Gustavo Mioto;Agroplay
2OXfrGRy8SY9G8YFjfvDuj;Geedy;Tate McRae;Sony
0bPP5cDG1ZnbAVCEa3ZbQ1;Só fé;Grelo;Independente
5QpcLTQjh0qO7OIuR9q8IR;Morar nesse motel; Gustavo Lima;Sony
5aIVCx5tnk0ntmdiinnYvw;Water ;Tyla;Sony
5mJcnekfy4DEpAZ6uAHM7Y;Casca de bala;Thullio Milionário;Independente
0mVTQi9I4ehzSi9u9hLca5;Saudade sem educação;João Neto e Frederico, Hugo e Guilherme;Som Livre
1BJJbSX6muJVF2AK7uH1x4;Move;Adam Port, Stryv, Malachiii, Orso;Interscope
0S7o4sti5I5CAbbotTUzTM;Wi-fi;Traia véia, Luan Pereira;Independente
2FQrifJ1N335Ljm3TjTVVf;A bar song;Shaboozey;Universal
3HMY0r2BAdpasXMY8rseR0;Too sweet;Hozier;Rubyworks
6S44vghJxOzBM2dwG10KBR;Mulher segura;Luan Santana;Sony
1BpnfIGAoWr04mls61Hf5n;Amor diferente;Thiago e Samuel, Simone Mendes;Temple Records
7vCtJ5u7dFM4tAWtgFf4l8;Anestesiado;Murilo Huff;Independente
38ywlpKe3tmlSRVQj8wyDI;Maravilhosa;Zé Vaqueiro;Sony
0VjIjW4GlUZAMYd2vXMi3b;Blinding lights;The Weeknd;Republic Records
0JIYoXtJfORxI6gRpHv6ZW;Traumatizei;Henrique e Juliano;Virgin
1TN4K9yZoRbbgaANj6X4EC;Quem é o pai;Breno Ferreira, Tierry;Independente
2gH5BX1Mr3voRMC8bVisBZ;Olho encharcado;Heitor e Murilo, Diego e Victor Hugo;Independente
2kFaWbpzQzpaJ0H6PskR6k;Página de ex;Mari Fernandez;Som Livre
3FB06ULqN0WNUSQ3UaMZnF;Amor na praia;Nattan;Independente
5IAx5ePf9QztrT7MqdCyDT;Dói; Jorge e Mateus;Som Livre
3JLhwgadVkN8zckxL1ICrI;O meu coração em suas mãos;Hugo e Guilherme, Maiara e Maraisa;Som Livre
5vNRhkKd0yEAg8suGBpjeY;APT.;Bruno Mars, Rosé;Independente
7l9Tq5phzkLnhWUyfp702G;Saveiro;Kaique e Felipe, Luan Pereira;Independente
5q0EXnBYyeCdXD72FzJxH0;Illusion;Dua Lipa;Warner
7DkhndGTKaqkFxxKN7XlAh;Manda um oi;Guilherme e Benuto, Simone Mendes;Sony
3kl34RPPISUNUGZkjJkBNS;Voltando pra mim;Gustavo Mioto;Universal
5DJNvfIFtPbGZNn0voXdl4;Fim da noite;João Bosco e Vinicius, Maiara e Maraisa;Independente
04h9o3gtRD7fvGafF7ukJj;Eu amo você;Léo Magalhães;Independente
