name;album;artists;release_date
Xonei;Xonei;Jorge & Mateus, Henrique & Juliano;2024-08-15
Cronômetro - Ao Vivo;Praiou (Ao Vivo / Vol.3);Matheus & Kauan;2024-07-05
Aproveita - Ao Vivo;Ao Vivo Em Brasília (Ao Vivo / Vol.1);Clayton & Romário;2024-05-31
Dois Tristes - Ao Vivo;Cantando Sua História (Ao Vivo / Vol.1);Simone Mendes;2024-03-01
Haverá Sinais - Ao Vivo;Haverá Sinais (Ao Vivo);Jorge & Mateus, Lauana Prado;2024-02-14
A noite;Esmeraldas (Álbum Comentado);Tiê;2014-09-23
Minha Herança - Ao Vivo;Minha Herança (Ao Vivo);Ana Castela;2024-05-30
Como Um Beijo;Como Um Beijo;Marcos & Belutti, Nadson O Ferinha;2024-05-24
Palavras de Perdão - Ao Vivo;Maturidade - EP 03 (Ao Vivo);Marília Tavares;2024-06-07
Morena De Goiânia - Ao Vivo;062 (Ao Vivo);Hugo & Guilherme, Maiara & Maraisa;2024-03-21
Gosta De Rua - Ao Vivo;Questão de Tempo (Ao Vivo / Vol.2);Felipe e Rodrigo;2024-03-29
Chave - Ao Vivo;Chave (Ao Vivo);Thiago e Samuel, Gustavo Mioto, Os Parazim;2024-03-27
Me Caiu Tão Bem - Ao Vivo;Me Caiu Tão Bem (Ao Vivo);Murilo Huff, Gustavo Mioto;2024-06-06
Deu Moral - Ao Vivo;Deu Moral (Ao Vivo);Zé Neto & Cristiano;2024-04-11
Vai Lá - Ao Vivo em Goiânia;iMEMsidão EP 01 (Ao Vivo em Goiânia);Maiara & Maraisa;2024-09-26
EU SOU SENTIMENTO;EU SOU SENTIMENTO;Luan Santana, Luan Pereira;2024-06-06
Chorosa - Ao Vivo;In Casa (Ao Vivo);Guilherme & Benuto;2024-08-15
Die With A Smile;Die With A Smile;Lady Gaga, Bruno Mars;2024-08-16
Nem a Pau (feat. Simone Mendes) - Ao Vivo;Nem a Pau (feat. Simone Mendes) [Ao Vivo];Yasmin Santos, Simone Mendes;2024-06-27
Pai, por quê?;Pai, por quê?;Enzo Rabelo, Bruno;2024-07-25
Fivela Com Fivela - Ao Vivo;Rionegro e Solimões em Uberlândia, Vol. 2 (Ao Vivo);Rionegro & Solimões;2024-04-18
Daqui Pra Frente;Daqui Pra Frente;Daniel Santos;2012-11-20
O Lugar Mais Triste do Mundo;O Lugar Mais Triste do Mundo;Traia Véia;2024-09-06
Relação Errada - Ao Vivo;Relação Errada (Ao Vivo);Gusttavo Lima, Bruno & Marrone;2024-02-21
Canudinho - Ao Vivo;Canudinho (Ao Vivo);Gusttavo Lima, Ana Castela;2023-08-30
Erro Gostoso - Ao Vivo;Cintilante (Ao Vivo);Simone Mendes;2023-01-27
Barulho Do Foguete - Ao Vivo;Escolhas, Vol. 2 (Ao Vivo);Zé Neto & Cristiano;2023-06-22
Eu Fujo;Acústico Do Nada;Gustavo Mioto;2024-08-16
Vazou Na Braquiara - Ao Vivo;062, Vol. 1 (Ao Vivo);Hugo & Guilherme;2024-01-18
Em Busca Da Minha Sorte - Ao Vivo;Em Busca Da Minha Sorte (Ao Vivo);Thiaguinho, Billy SP;2024-04-04
Mentira Estampada na Cara;De Bar em Bar 5.0;Natanzinho Lima;2024-06-14
Torre Eiffel - Ao Vivo;Daqui pra Sempre, Vol. 03 (Ao Vivo);Manu, Guilherme & Benuto;2024-03-01
Coração Partido (Corazón Partío) - Ao Vivo;Coração Partido (Corazón Partío) [Ao Vivo];Grupo Menos É Mais;2024-08-29
